GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	padj
GO:0071704	0.0311658053973027	1.17702626257227	348.574975313867	371	3992	organic substance metabolic process	1
GO:0010467	0.0390230180689754	1.52610008628128	17.3359269789017	25	208	gene expression	1
GO:0016049	0.0547135554747006	1.44471744471744	19.6466356326703	27	225	cell growth	1
GO:0006807	0.0663783914170376	1.15659534893839	160.753138665538	177	1841	nitrogen compound metabolic process	1
GO:0034641	0.0663783914170376	1.15659534893839	160.753138665538	177	1841	cellular nitrogen compound metabolic process	1
GO:0032502	0.0712223126111562	1.18354550071863	127.43661409463	141	1658	developmental process	1
GO:0065008	0.100220663671233	1.25291503196247	37.1976301311892	45	426	regulation of biological quality	1
GO:0019725	0.100220663671233	1.25291503196247	37.1976301311892	45	426	cellular homeostasis	1
GO:0042592	0.100220663671233	1.25291503196247	37.1976301311892	45	426	homeostatic process	1
GO:0007267	0.10638498523778	1.19077520524146	62.5199605021865	72	716	cell-cell signaling	1
GO:0007610	0.171655838138979	1.14110305099211	66.5366060093102	74	762	behavior	1
GO:0005975	0.200156062108114	1.14964615940906	46.2787417125123	52	530	carbohydrate metabolic process	1
GO:0044700	0.207145073401161	1.2112612204189	22.9026963657679	27	296	single organism signaling	1
GO:0044767	0.263400654577427	1.30481108105893	7.89946342841005	10	108	single-organism developmental process	1
GO:0008037	0.265099922691473	1.23046875	12.4865284243194	15	143	cell recognition	1
GO:0006139	0.284198440116215	1.06190313012606	146.782197771195	153	1681	nucleobase-containing compound metabolic process	1
GO:0006725	0.284198440116215	1.06190313012606	146.782197771195	153	1681	cellular aromatic compound metabolic process	1
GO:0046483	0.284198440116215	1.06190313012606	146.782197771195	153	1681	heterocycle metabolic process	1
GO:1901360	0.284198440116215	1.06190313012606	146.782197771195	153	1681	organic cyclic compound metabolic process	1
GO:0009628	0.400558067010934	1.04120111731844	68.7195655240513	71	787	response to abiotic stimulus	1
GO:0016265	0.409308742914725	2.18415841584158	0.50381679389313	1	6	death	1
GO:0051704	0.503120986111863	1.01122001059563	34.6653970940894	35	397	multi-organism process	1
GO:0044419	0.503120986111863	1.01122001059563	34.6653970940894	35	397	interspecies interaction between organisms	1
GO:0044403	0.503120986111863	1.01122001059563	34.6653970940894	35	397	symbiosis, encompassing mutualism through parasitism	1
GO:0007154	0.504322596263919	1.01059388206498	36.6752637749121	37	474	cell communication	1
GO:0090304	0.536838257863605	0.995113871635611	44.1831005783608	44	506	nucleic acid metabolic process	1
GO:0006259	0.536838257863605	0.995113871635611	44.1831005783608	44	506	DNA metabolic process	1
GO:0006811	0.664930999471436	0.942196637426901	45.2309211454366	43	518	ion transport	1
GO:0044765	0.664930999471436	0.942196637426901	45.2309211454366	43	518	single-organism transport	1
GO:1902578	0.670003652082621	0.940060399159664	45.3182395260262	43	519	single-organism localization	1
GO:0044764	0.73588860760953	0.892380300424646	28.7277472139935	26	329	multi-organism cellular process	1
GO:0016032	0.73588860760953	0.892380300424646	28.7277472139935	26	329	viral process	1
GO:0009987	0.784126133012751	0.879601668104688	46.9307511737089	43	727	cellular process	1
GO:0019748	0.859796093120404	0.783794758213363	21.1310481026943	17	242	secondary metabolic process	1
GO:0009058	0.877248159998705	0.884835302785428	120.26799341613	110	1443	biosynthetic process	1
GO:0009056	0.878744328535747	0.890361105371247	137.002539145154	126	1569	catabolic process	1
GO:0044237	0.934824315571384	0.814233596777975	71.505655226209	61	919	cellular metabolic process	1
GO:0044699	0.979644758291944	0.741731804381973	78.2776891158634	65	1146	single-organism process	1
GO:0008152	0.983237611141001	0.73879781420765	79.2767194058766	65	990	metabolic process	1
GO:0044238	0.992005093480693	0.760453146104331	134.502187044366	114	1819	primary metabolic process	1
GO:0007005	0.992755354082247	0.487661777394305	17.3763577373395	9	199	mitochondrion organization	1
GO:0006091	0.996835370972026	0.515417087817349	25.4969671321766	14	292	generation of precursor metabolites and energy	1
GO:0044710	0.999540460918599	0.643167494270435	83.3017350825222	58	954	single-organism metabolic process	1
GO:0006629	0.999840098623826	0.597500757146808	73.8713499788405	48	846	lipid metabolic process	1
